codigo_ine,objetivo_aue,promedio_indice,n_indicadores,periodo_max
43062,2,65.38608790833332,6,2025
43062,3,64.83179662777778,9,2025
43062,4,60.783914358333334,12,2025
43062,5,68.23604392,7,2025
43062,6,13.313615385,2,2024
43063,1,29.647571679428573,7,2025
43063,2,72.26947496875,8,2025
43063,3,61.378767834,9,2025
43063,4,68.45464225545454,11,2025
43063,5,52.627049084,6,2025
43063,6,37.58169231,2,2024
43064,1,55.337176665,8,2025
43064,2,77.84971155875,8,2025
43064,3,59.42714975222222,9,2025
43064,4,73.15483907,12,2025
43064,5,76.58163809714286,7,2025
43064,6,71.03008369,2,2024
43065,1,47.57312344375,8,2025
43065,2,54.4917949225,8,2025
43065,3,50.40536209777778,9,2025
43065,4,67.92486229916666,12,2025
43065,5,80.01533055714286,7,2025
43065,6,49.80769231,2,2024
43066,1,35.666116534000004,10,2026
43066,2,71.450273185,6,2025
43066,3,59.26089310888889,9,2025
43066,4,75.2383649075,12,2025
43066,5,60.510735172222226,9,2025
43066,6,50.0,2,2024
43067,1,38.501577736525,8,2025
43067,2,60.629480057625,8,2025
43067,3,56.307714761355555,9,2025
43067,4,69.1610187575,12,2025
43067,5,70.466645243,7,2025
43067,6,24.802,2,2024
43068,1,45.86896614,8,2025
43068,2,62.440069198,8,2025
43068,3,62.582626561111105,9,2025
43068,4,68.36700329583333,12,2025
43068,5,57.57147084442857,7,2025
43068,6,45.418846155,2,2024
43069,1,55.344207356249996,8,2025
43069,2,81.14438275833334,6,2025
43069,3,78.07283664222223,9,2025
43069,4,84.20682636333333,12,2025
43069,5,62.65547397628571,7,2025
43069,6,49.850615385,2,2024
43070,1,55.39934982875,8,2025
43070,2,79.03711628825,6,2025
43070,3,78.34402462555555,9,2025
43070,4,80.12686509999999,12,2025
43070,5,68.42191218992858,7,2025
43070,6,33.325384615,2,2024
43071,1,47.9623264,9,2025
43071,2,65.25454530375,8,2025
43071,3,73.72551355222222,9,2025
43071,4,66.05799385076924,13,2025
43071,5,52.62980996125,8,2025
43071,6,45.559615385,2,2024
43072,1,70.15191274375,8,2025
43072,2,71.14853725166667,6,2025
43072,3,88.19569101222221,9,2025
43072,4,79.87455947583334,12,2025
43072,5,57.26178655285714,7,2025
43072,6,49.071615385,2,2024
43073,1,35.687947040000005,6,2025
43073,2,74.03045050833333,6,2025
43073,3,77.9986193725,8,2025
43073,4,74.82354802833333,12,2025
43073,5,71.10496841,7,2025
43073,6,33.35946154,2,2024
43074,1,34.911952715,8,2025
43074,2,74.65231192625001,8,2025
43074,3,53.82042078822222,9,2025
43074,4,71.82869179033334,12,2025
43074,5,71.34161944571429,7,2025
43074,6,72.58572721,2,2024
43075,1,55.24786995625,8,2025
43075,2,80.81079988666666,6,2025
43075,3,75.53766336444444,9,2025
43075,4,53.442955904166666,12,2025
43075,5,44.25935395571428,7,2025
43075,6,48.498473680000004,2,2024
43076,1,45.90453896875,8,2025
43076,2,66.58888859437499,8,2025
43076,3,61.73693112833333,9,2025
43076,4,69.41788310375,12,2025
43076,5,76.57095582285714,7,2025
43076,6,43.148,2,2024
43077,1,43.25630875625,8,2025
43077,2,74.977846575,8,2025
43077,3,79.60829762333333,9,2025
43077,4,70.27187931416667,12,2025
43077,5,49.88403487285715,7,2025
43077,6,47.604,2,2024
43078,1,30.291068114875,8,2025
43078,2,60.601666551,8,2025
43078,3,54.18176651222222,9,2025
43078,4,66.33400570166667,12,2025
43078,5,57.243934915000004,7,2025
43078,6,22.08553846,2,2024
43079,1,46.030464424550004,8,2025
43079,2,60.7137758474125,8,2025
43079,3,54.62085750737778,9,2025
43079,4,64.2879715575,12,2025
