codigo_ine,ods_objetivo,promedio_metas,n_metas
43056,10,67.92692265666666,3
43056,11,65.74621236499999,4
43056,12,82.78948980999999,2
43056,13,13.30667972,1
43056,15,67.4183460575,2
43056,16,50.0,2
43056,17,34.76658324,2
43056,2,41.803428168125,2
43056,3,100.0,1
43056,4,100.0,1
43056,5,94.36759009999999,3
43056,6,100.0,1
43056,7,76.370968595,2
43056,8,63.443095175833335,4
43056,9,41.25527914333333,3
43057,1,100.0,1
43057,10,81.000645995,2
43057,11,77.48881835125,4
43057,12,62.458037245,2
43057,13,0.0,1
43057,15,100.0,2
43057,16,50.0,2
43057,17,16.2475565875,2
43057,2,45.900848986374996,2
43057,3,100.0,1
43057,5,72.00938697166667,3
43057,6,100.0,1
43057,7,71.31760273500001,2
43057,8,73.16604132291667,4
43057,9,33.333333333333336,3
43058,1,48.148148146666664,3
43058,10,27.867749926666665,2
43058,11,74.40522135725,4
43058,12,78.66983616499999,2
43058,13,60.22452242,1
43058,15,97.859392025,2
43058,16,50.0,2
43058,17,26.9107491915,2
43058,2,34.97937022758333,3
43058,3,74.69649902375001,4
43058,5,59.98222222333334,3
43058,6,97.98473063,1
43058,7,60.436284,2
43058,8,69.15774094416668,4
43058,9,33.34841996666666,3
43059,1,100.0,1
43059,10,51.218931885,2
43059,11,73.47869719,4
43059,12,72.7321582,2
43059,13,0.0,1
43059,15,75.6367955825,2
43059,16,50.0,2
43059,17,5.74049124,2
43059,2,41.060649195625004,2
43059,3,100.0,1
43059,4,100.0,1
43059,5,67.25073153666666,3
43059,6,100.0,1
43059,7,38.173567135,2
43059,8,63.47135541916667,4
43059,9,49.549520386666664,3
43060,1,38.62232200538333,4
43060,10,60.14100894555556,3
43060,11,70.129384712,5
43060,12,96.6720288225,2
43060,13,4.559867393,1
43060,15,59.22177795225,2
43060,16,53.4952499435,2
43060,17,19.323281509133334,3
43060,2,26.0180369325,2
43060,3,100.0,1
43060,4,68.94226031643,5
